147.089@0.80000025
129.0789@0.80199975
128.0476@5.7239995
385.2012@20.22098
700.5516@20.267977
368.1754@20.223015
188.1267@0.71099937
310.1162@5.1359935
301.2614@19.796999
523.2933@20.203001
803.5453@20.155022
493.3173@19.99401
612.152@3.3280015
496.2249@10.364994
294.1104@19.604002
428.2253@9.986008
260.1371@6.119996
177.0788@1.2770002
414.2041@19.969978
262.1315@8.763993
208.1098@19.213991
